iter	Logloss
0	0.6915778473
1	0.6902248237
2	0.6883915326
3	0.6871316924
4	0.6855741777
5	0.6840269598
6	0.6825459953
7	0.6815863922
8	0.6800333969
9	0.678937979
10	0.6776519077
11	0.676196522
12	0.6748884594
13	0.6734316294
14	0.6721782655
15	0.670508325
16	0.6689964702
17	0.6672623263
18	0.665767757
19	0.6645966741
20	0.6634297378
21	0.6623119558
22	0.6609511048
23	0.6593286412
24	0.6585285216
25	0.657101324
26	0.6563310696
27	0.6552944038
28	0.6545452555
29	0.6538654357
30	0.6533212443
31	0.6520956025
32	0.6506610899
33	0.6499381728
34	0.6485160536
35	0.6477323809
36	0.646920194
37	0.6462363673
38	0.6455990391
39	0.6443771246
40	0.6437715254
41	0.6426418625
42	0.6418607523
43	0.6401595953
44	0.6390921323
45	0.6380525778
46	0.637557401
47	0.6366513784
48	0.6357331487
49	0.6345536327
50	0.6336386644
51	0.6326718862
52	0.6319958403
53	0.631288112
54	0.6303855372
55	0.6295845323
56	0.6289550781
57	0.6282953859
58	0.627566738
59	0.6268823988
60	0.6259069545
61	0.6252697195
62	0.6245683277
63	0.6237003705
64	0.6229806682
65	0.6224837209
66	0.6219061233
67	0.6214243649
68	0.620680761
69	0.6199735918
70	0.6193518719
71	0.6185985769
72	0.618159217
73	0.617161595
74	0.6163797859
75	0.6157356553
76	0.6152831099
77	0.6146911155
78	0.614057934
79	0.6135606606
80	0.6128339695
81	0.6121614645
82	0.6114143197
83	0.610760731
84	0.6102705861
85	0.6095430563
86	0.6089262751
87	0.6083579027
88	0.6075324837
89	0.6074565858
90	0.6073607467
91	0.6066284646
92	0.6060141061
93	0.6055121269
94	0.6049611798
95	0.6044404241
96	0.603872238
97	0.6031940955
98	0.602921301
99	0.6022679453
100	0.6016700337
101	0.6012931067
102	0.6010285589
103	0.6004605126
104	0.6000067558
105	0.5994886558
106	0.5986765155
107	0.5982975385
108	0.5975780225
109	0.5971663846
110	0.596747991
111	0.5961548783
112	0.5956147405
113	0.5951036293
114	0.5947738065
115	0.5942651647
116	0.5936123681
117	0.5931842833
118	0.5929294266
119	0.5922342781
120	0.591541366
121	0.5911610844
122	0.5904168282
123	0.589856982
124	0.5893208045
125	0.5889042745
126	0.5885416045
127	0.5880481982
128	0.5874419933
129	0.5870062209
130	0.5866350713
131	0.5861488401
132	0.5855277724
133	0.5851173925
134	0.5847824446
135	0.5843221184
136	0.5838014093
137	0.5832555873
138	0.5826662486
139	0.5822569403
140	0.5819169605
141	0.5814688879
142	0.5810408032
143	0.580600325
144	0.5803932714
145	0.5802011271
146	0.5799889019
147	0.5795654763
148	0.5790921044
149	0.5786875485
150	0.5779221396
151	0.5775873315
152	0.5772884922
153	0.5768711236
154	0.5763506008
155	0.5758524887
156	0.5753466424
157	0.5749219123
158	0.574619532
159	0.574330477
160	0.5740213409
161	0.5738133088
162	0.5733100716
163	0.5729230808
164	0.5723458559
165	0.5719239213
166	0.5715886007
167	0.571345951
168	0.5708355387
169	0.5702711731
170	0.5700138937
171	0.5697520948
172	0.5692999221
173	0.5689735937
174	0.5686619416
175	0.568377639
176	0.5678198429
177	0.5675018078
178	0.567103961
179	0.5665331193
180	0.5660185137
181	0.5654771645
182	0.5649013374
183	0.5644819187
184	0.5640324017
185	0.5636421029
186	0.5632640111
187	0.5630235046
188	0.5626743462
189	0.5622575367
190	0.5619680157
191	0.5613996899
192	0.5609438365
193	0.5606709488
194	0.5603926564
195	0.5598593675
196	0.5596382898
197	0.5593959663
198	0.5590020799
199	0.5587732679
200	0.5585100713
201	0.5581087768
202	0.5577998271
203	0.5574437265
204	0.5572054099
205	0.5568536889
206	0.5564454057
207	0.5561120885
208	0.555720951
209	0.5554535145
210	0.5550741647
211	0.5547520761
212	0.5545135265
213	0.5541381836
214	0.5538851439
215	0.5536920213
216	0.5532599296
217	0.5529250749
218	0.5524974095
219	0.552276192
220	0.551888875
221	0.5515062172
222	0.5511860389
223	0.550887945
224	0.5506033628
225	0.5502592363
226	0.5498756001
227	0.5495530456
228	0.5491078617
229	0.5488066928
230	0.5483153365
231	0.5481404312
232	0.5479179091
233	0.547633653
234	0.5474041888
235	0.5470929095
236	0.5467719391
237	0.5465367907
238	0.5461857687
239	0.5459554658
240	0.5456525264
241	0.545402422
242	0.5449694917
243	0.5447333649
244	0.5444632261
245	0.5441839553
246	0.5438865603
247	0.5436364094
248	0.543315206
249	0.5428621947
250	0.5426203837
251	0.5422442953
252	0.5418838617
253	0.541542624
254	0.5413178655
255	0.5409150801
256	0.5405545533
257	0.5401349017
258	0.5398753392
259	0.539626353
260	0.5394094686
261	0.5392139231
262	0.5388454758
263	0.5385211042
264	0.538258886
265	0.5380046815
266	0.5377224755
267	0.5374277828
268	0.537147487
269	0.5368322474
270	0.5366333008
271	0.5363970342
272	0.5361543379
273	0.5359249202
274	0.5356709488
275	0.5352396492
276	0.5350293341
277	0.534854289
278	0.5344646891
279	0.5341308594
280	0.5338576455
281	0.5336844641
282	0.5334280698
283	0.5333082359
284	0.5329788324
285	0.5327399101
286	0.5324654383
287	0.5322412855
288	0.5320825941
289	0.5318765655
290	0.5315672896
291	0.531172285
292	0.5308262483
293	0.5306655534
294	0.5304667931
295	0.5302028976
296	0.5298896615
297	0.5296732429
298	0.5294786759
299	0.5291707978
300	0.5287271514
301	0.5284854336
302	0.5282560159
303	0.5280671331
304	0.5278656239
305	0.5277024131
306	0.5273589389
307	0.5271296144
308	0.5269662173
309	0.5265172128
310	0.5262436263
311	0.5260890349
312	0.5258692618
313	0.5255304002
314	0.5253645336
315	0.5250703535
316	0.5247974192
317	0.524607325
318	0.5244139693
319	0.5241183914
320	0.5236766087
321	0.5233354641
322	0.5229921297
323	0.5228145687
324	0.5224190049
325	0.5221266885
326	0.5219183769
327	0.5217049402
328	0.5213323928
329	0.5212338513
330	0.5209999143
331	0.5206594686
332	0.5204523218
333	0.5203124068
334	0.5200974792
335	0.5198818993
336	0.5195669859
337	0.5192211355
338	0.5188800841
339	0.5186469857
340	0.5184707758
341	0.5179638113
342	0.5175508223
343	0.517323641
344	0.5169455026
345	0.516623414
346	0.5163420466
347	0.5161072709
348	0.5155017183
349	0.5152398728
350	0.5150114802
351	0.5147994879
352	0.5145311195
353	0.5142300904
354	0.5138893186
355	0.5136404722
356	0.5134885366
357	0.5132904286
358	0.5130964206
359	0.5128368582
360	0.5126707121
361	0.5124446956
362	0.5122320976
363	0.5119965298
364	0.511818829
365	0.5115233443
366	0.5110544452
367	0.5106903309
368	0.5102556767
369	0.5100098588
370	0.5098250294
371	0.5095985005
372	0.5093909344
373	0.5091314185
374	0.5088275007
375	0.5085832203
376	0.5084001148
377	0.5081588629
378	0.5079716573
379	0.5076374083
380	0.5074213159
381	0.50713692
382	0.5068835076
383	0.5066377363
384	0.5063836251
385	0.5062089993
386	0.5060304598
387	0.5057615324
388	0.5054952607
389	0.5053187712
390	0.5050009225
391	0.5045168811
392	0.5043846538
393	0.5040890293
394	0.5038524832
395	0.50358295
396	0.5033575859
397	0.5030498941
398	0.5028182401
399	0.5026396074
400	0.5024096307
401	0.5021835677
402	0.5017525942
403	0.5014651233
404	0.5013683057
405	0.5011039443
406	0.5008529081
407	0.5005621757
408	0.5002557886
409	0.5000088524
410	0.4997605185
411	0.4995556082
412	0.4993130516
413	0.4989996291
414	0.4987609397
415	0.4984724438
416	0.4982164689
417	0.4979920831
418	0.4976757253
419	0.4973820577
420	0.4971063745
421	0.4968981095
422	0.4966838342
423	0.4964136954
424	0.4960933773
425	0.4960029893
426	0.4955780262
427	0.495420686
428	0.4952983361
429	0.495041243
430	0.4947615063
431	0.494476132
